,loss,categorical_accuracy,val_loss,val_categorical_accuracy
0,0.0980885699391365,0.9821478128433228,0.028313688933849335,0.9956851601600647
1,0.00377101544290781,0.9993627667427063,0.01566302217543125,0.9980688691139221
2,0.0017471843166276813,0.999595582485199,0.014599078334867954,0.9980961680412292
3,0.00110169081017375,0.9997022151947021,0.015710430219769478,0.9981936812400818
4,0.0006742237019352615,0.9998361468315125,0.016250716522336006,0.9982873201370239
5,0.000493667321279645,0.9998569488525391,0.01630490832030773,0.9982911944389343
6,0.00033668577088974416,0.9999297857284546,0.01643190160393715,0.9983107447624207
7,0.000249758071731776,0.9999544620513916,0.015801066532731056,0.998326301574707
8,0.00019456006702966988,0.9999583959579468,0.016412723809480667,0.998314619064331
9,0.00015550102398265153,0.9999609589576721,0.015506979078054428,0.9983341097831726
