time,is_immersive
2021-11-12 18:17:47.026,0
2021-11-12 18:17:54.031,1
2021-11-12 18:18:16.046,0
2021-11-12 18:18:21.052,1
2021-11-12 18:18:50.083,0
2021-11-12 18:18:51.084,1
2021-11-12 18:18:56.089,0
2021-11-12 18:19:05.094,1
2021-11-12 18:19:08.095,1
2021-11-12 18:19:32.109,1
2021-11-12 18:19:36.115,0
2021-11-12 18:19:38.119,1
2021-11-12 18:19:48.125,1
2021-11-12 18:20:04.133,1
2021-11-12 18:20:26.146,1
2021-11-12 18:20:37.153,1
2021-11-12 18:20:38.156,0
2021-11-12 18:21:07.171,1
2021-11-12 18:21:14.174,0
2021-11-12 18:21:17.179,1
2021-11-12 18:21:40.198,0
2021-11-12 18:21:49.204,1
2021-11-12 18:22:10.214,0
2021-11-12 18:22:14.223,1
2021-11-12 18:22:15.223,1
2021-11-12 18:22:20.229,0
2021-11-12 18:22:27.234,1
2021-11-12 18:22:28.236,1
2021-11-12 18:23:22.270,0
2021-11-12 18:23:25.272,0
2021-11-12 18:23:27.275,0
2021-11-12 18:23:33.279,0
2021-11-12 18:23:39.282,1
2021-11-12 18:23:46.286,0
2021-11-12 18:24:26.316,1
2021-11-12 18:24:29.317,0
2021-11-12 18:24:34.320,1
2021-11-12 18:24:36.321,0
2021-11-12 18:24:39.332,1
2021-11-12 18:24:44.336,0
2021-11-12 18:25:09.351,0
2021-11-12 18:25:42.368,0
2021-11-12 18:25:50.389,1
2021-11-12 18:25:52.392,0
2021-11-12 18:25:55.395,1
2021-11-12 18:26:04.399,0
2021-11-12 18:26:07.403,1
2021-11-12 18:26:34.421,0
2021-11-12 18:26:38.424,1
2021-11-12 18:26:39.426,0
2021-11-12 18:29:59.532,1
2021-11-12 18:30:42.559,0
2021-11-12 18:31:24.586,1
2021-11-12 18:31:31.592,0
2021-11-12 18:31:37.596,1
2021-11-12 18:32:06.611,0
2021-11-12 18:32:12.630,1
2021-11-12 18:32:34.641,0
2021-11-12 18:32:37.644,0
2021-11-12 18:32:39.646,0
2021-11-12 18:33:23.670,1
2021-11-12 18:33:25.673,0
2021-11-12 18:33:47.699,0
2021-11-12 18:49:07.253,1
2021-11-12 18:50:19.871,0
2021-11-12 18:52:01.776,1
2021-11-12 18:52:03.787,0
2021-11-12 18:52:12.902,1
2021-11-12 18:52:14.919,0
2021-11-12 18:52:38.139,1
2021-11-12 18:52:42.165,0
2021-11-12 18:53:31.577,0
2021-11-12 18:55:21.530,0
2021-11-12 18:55:45.712,1
2021-11-12 19:00:13.460,0
2021-11-12 19:00:14.485,1
2021-11-12 19:00:16.512,1
2021-11-12 19:00:27.627,0
2021-11-12 19:00:42.866,1
2021-11-12 19:00:58.989,0
2021-11-12 19:01:32.241,1
2021-11-12 19:01:34.258,0
2021-11-12 19:03:02.785,0
2021-11-12 19:03:04.802,0
2021-11-12 19:03:17.901,1
2021-11-12 19:03:23.957,0
2021-11-12 19:03:39.042,1
2021-11-12 19:04:11.324,0
2021-11-12 19:04:14.369,0
2021-11-12 19:05:10.865,0
2021-11-12 19:05:16.923,0
2021-11-12 19:05:41.153,0
2021-11-12 19:05:43.176,0
2021-11-12 19:05:45.189,0
2021-11-12 19:06:25.518,1
2021-11-12 19:06:27.524,1
2021-11-12 19:06:28.536,0
2021-11-12 19:06:30.565,0
2021-11-12 19:06:31.573,0
2021-11-12 19:06:33.602,0
2021-11-12 19:06:34.603,0
2021-11-12 19:06:38.652,0
2021-11-12 19:07:17.971,0
2021-11-12 19:07:30.088,0
2021-11-12 19:07:32.106,1
2021-11-12 19:08:07.395,0
2021-11-12 19:13:45.071,0
2021-11-12 19:13:46.081,0
2021-11-12 19:13:50.109,0
2021-11-12 19:13:51.112,0
2021-11-12 19:14:04.213,1
2021-11-12 19:14:10.258,0
2021-11-12 19:19:32.653,1
2021-11-12 19:19:51.826,0
2021-11-12 19:22:21.957,1
2021-11-12 19:22:23.970,1
2021-11-12 19:22:53.181,0
2021-11-12 19:25:32.429,1
2021-11-12 19:25:47.533,0
2021-11-12 19:26:56.112,1
2021-11-12 19:26:57.122,1
2021-11-12 19:27:01.162,1
2021-11-12 19:28:08.678,0
2021-11-12 19:28:53.047,0
2021-11-12 19:31:55.486,1
2021-11-12 19:32:01.529,1
2021-11-12 19:32:04.558,0
