,time,window
0,2021-06-25 18:26:06.139,cmd.exe
1,2021-06-25 18:26:15.138,explorer.exe
2,2021-06-25 18:26:16.638,devenv.exe
3,2021-06-25 18:27:18.638,Teams.exe
4,2021-06-25 18:27:20.638,Teams.exe
5,2021-06-25 18:27:23.139,devenv.exe
6,2021-06-25 18:27:27.139,devenv.exe
7,2021-06-25 18:27:27.639,devenv.exe
8,2021-06-25 18:27:28.141,devenv.exe
9,2021-06-25 18:27:28.638,devenv.exe
10,2021-06-25 18:27:31.638,explorer.exe
11,2021-06-25 18:27:39.139,explorer.exe
12,2021-06-25 18:27:40.138,OUTLOOK.EXE
13,2021-06-25 18:27:47.638,OUTLOOK.EXE
14,2021-06-25 18:27:54.137,Teams.exe
16,2021-06-25 18:27:57.638,OUTLOOK.EXE
18,2021-06-25 18:28:01.138,explorer.exe
19,2021-06-25 18:28:02.638,OUTLOOK.EXE
20,2021-06-25 18:29:43.637,Teams.exe
21,2021-06-25 18:29:44.637,Teams.exe
22,2021-06-25 18:29:53.137,Teams.exe
23,2021-06-25 18:29:56.637,Teams.exe
24,2021-06-25 18:29:57.138,Teams.exe
25,2021-06-25 18:29:57.637,Teams.exe
26,2021-06-25 18:30:00.139,OUTLOOK.EXE
27,2021-06-25 18:30:02.137,OUTLOOK.EXE
28,2021-06-25 18:30:08.137,OUTLOOK.EXE
29,2021-06-25 18:30:12.637,OUTLOOK.EXE
30,2021-06-25 18:30:14.137,OUTLOOK.EXE
31,2021-06-25 18:30:15.637,OUTLOOK.EXE
32,2021-06-25 18:30:17.637,OUTLOOK.EXE
34,2021-06-25 18:30:31.138,chrome.exe
35,2021-06-25 18:30:34.137,chrome.exe
36,2021-06-25 18:30:58.137,explorer.exe
37,2021-06-25 18:32:02.636,chrome.exe
38,2021-06-25 18:36:16.638,chrome.exe
39,2021-06-25 18:36:17.138,chrome.exe
40,2021-06-25 18:36:17.637,chrome.exe
41,2021-06-25 18:37:17.638,Teams.exe
42,2021-06-25 18:37:25.637,chrome.exe
43,2021-06-25 18:38:03.636,explorer.exe
44,2021-06-25 18:38:08.636,Teams.exe
45,2021-06-25 18:38:09.136,Teams.exe
46,2021-06-25 18:38:12.137,Teams.exe
47,2021-06-25 18:41:34.637,explorer.exe
48,2021-06-25 18:41:43.637,POWERPNT.EXE
49,2021-06-25 18:41:52.136,POWERPNT.EXE
50,2021-06-25 18:41:53.640,POWERPNT.EXE
51,2021-06-25 18:42:14.636,POWERPNT.EXE
52,2021-06-25 18:42:16.136,POWERPNT.EXE
53,2021-06-25 18:42:36.636,POWERPNT.EXE
54,2021-06-25 18:42:38.137,POWERPNT.EXE
55,2021-06-25 18:42:42.136,POWERPNT.EXE
56,2021-06-25 18:42:45.137,POWERPNT.EXE
57,2021-06-25 18:44:13.136,POWERPNT.EXE
58,2021-06-25 18:44:14.138,POWERPNT.EXE
59,2021-06-25 18:44:15.636,POWERPNT.EXE
60,2021-06-25 18:44:16.636,POWERPNT.EXE
61,2021-06-25 18:48:03.138,explorer.exe
62,2021-06-25 18:48:05.637,OUTLOOK.EXE
63,2021-06-25 18:48:52.136,OUTLOOK.EXE
64,2021-06-25 18:49:29.636,Teams.exe
65,2021-06-25 18:49:32.640,Teams.exe
66,2021-06-25 18:49:38.636,OUTLOOK.EXE
67,2021-06-25 18:51:05.636,OUTLOOK.EXE
68,2021-06-25 18:51:07.136,OUTLOOK.EXE
69,2021-06-25 18:51:32.136,Teams.exe
70,2021-06-25 18:51:39.136,POWERPNT.EXE
71,2021-06-25 18:51:40.636,Teams.exe
72,2021-06-25 18:51:41.636,chrome.exe
73,2021-06-25 18:51:58.136,Teams.exe
74,2021-06-25 18:52:01.137,Teams.exe
75,2021-06-25 18:52:04.635,OUTLOOK.EXE
76,2021-06-25 18:53:21.635,Teams.exe
77,2021-06-25 18:53:23.636,Teams.exe
78,2021-06-25 18:54:10.635,Teams.exe
79,2021-06-25 18:54:14.636,Teams.exe
80,2021-06-25 18:56:27.137,explorer.exe
81,2021-06-25 18:56:28.136,OUTLOOK.EXE
82,2021-06-25 18:56:46.636,OUTLOOK.EXE
83,2021-06-25 18:59:24.636,OUTLOOK.EXE
84,2021-06-25 19:00:06.637,OUTLOOK.EXE
85,2021-06-25 19:00:11.636,OUTLOOK.EXE
86,2021-06-25 19:00:13.137,OUTLOOK.EXE
87,2021-06-25 19:00:20.135,OUTLOOK.EXE
88,2021-06-25 19:00:22.136,Teams.exe
90,2021-06-25 19:02:07.636,Teams.exe
91,2021-06-25 19:02:14.136,OUTLOOK.EXE
92,2021-06-25 19:02:38.636,Teams.exe
93,2021-06-25 19:02:40.635,OUTLOOK.EXE
94,2021-06-25 19:05:59.136,explorer.exe
95,2021-06-25 19:06:01.136,OUTLOOK.EXE
96,2021-06-25 19:06:03.135,POWERPNT.EXE
97,2021-06-25 19:06:07.135,OUTLOOK.EXE
98,2021-06-25 19:06:11.636,POWERPNT.EXE
99,2021-06-25 19:06:14.136,OUTLOOK.EXE
100,2021-06-25 19:06:25.136,OUTLOOK.EXE
101,2021-06-25 19:06:27.136,OUTLOOK.EXE
102,2021-06-25 19:06:30.635,FoxitReader.exe
103,2021-06-25 19:06:34.635,OUTLOOK.EXE
105,2021-06-25 19:06:49.638,explorer.exe
106,2021-06-25 19:06:55.136,OUTLOOK.EXE
107,2021-06-25 19:06:58.136,OUTLOOK.EXE
108,2021-06-25 19:06:58.635,OUTLOOK.EXE
109,2021-06-25 19:06:59.635,explorer.exe
110,2021-06-25 19:07:00.635,OUTLOOK.EXE
111,2021-06-25 19:07:03.636,OUTLOOK.EXE
112,2021-06-25 19:07:05.635,OUTLOOK.EXE
113,2021-06-25 19:07:06.135,OUTLOOK.EXE
114,2021-06-25 19:07:11.136,OUTLOOK.EXE
115,2021-06-25 19:07:43.135,OUTLOOK.EXE
117,2021-06-25 19:07:46.635,explorer.exe
118,2021-06-25 19:07:55.635,Teams.exe
119,2021-06-25 19:08:16.637,explorer.exe
120,2021-06-25 19:08:17.137,OUTLOOK.EXE
122,2021-06-25 19:52:16.639,LockApp.exe
124,2021-06-25 19:52:21.139,OUTLOOK.EXE
125,2021-06-25 19:52:27.139,explorer.exe
126,2021-06-25 19:52:28.640,OUTLOOK.EXE
128,2021-06-25 19:52:41.640,chrome.exe
129,2021-06-25 19:52:49.139,chrome.exe
130,2021-06-25 20:01:03.135,Teams.exe
131,2021-06-25 20:01:03.636,Teams.exe
132,2021-06-25 20:01:14.136,chrome.exe
133,2021-06-25 20:01:16.636,Teams.exe
134,2021-06-25 20:01:17.136,Teams.exe
135,2021-06-25 20:01:18.636,Teams.exe
136,2021-06-25 20:01:33.636,chrome.exe
137,2021-06-25 20:01:35.636,chrome.exe
138,2021-06-25 20:01:40.635,explorer.exe
139,2021-06-25 20:01:43.137,POWERPNT.EXE
140,2021-06-25 20:01:45.136,POWERPNT.EXE
141,2021-06-25 20:01:49.136,POWERPNT.EXE
142,2021-06-25 20:01:56.635,FoxitReader.exe
143,2021-06-25 20:01:58.637,FoxitReader.exe
144,2021-06-25 20:02:34.637,POWERPNT.EXE
145,2021-06-25 20:02:41.635,POWERPNT.EXE
146,2021-06-25 20:02:43.635,POWERPNT.EXE
147,2021-06-25 20:02:46.137,POWERPNT.EXE
148,2021-06-25 20:02:48.635,POWERPNT.EXE
149,2021-06-25 20:02:50.135,POWERPNT.EXE
150,2021-06-25 20:07:24.635,POWERPNT.EXE
151,2021-06-25 20:07:25.634,POWERPNT.EXE
152,2021-06-25 20:08:31.134,POWERPNT.EXE
153,2021-06-25 20:08:32.634,POWERPNT.EXE
154,2021-06-25 20:10:01.634,POWERPNT.EXE
155,2021-06-25 20:10:03.135,POWERPNT.EXE
156,2021-06-25 20:16:24.136,POWERPNT.EXE
157,2021-06-25 20:16:24.633,POWERPNT.EXE
158,2021-06-25 20:18:11.145,POWERPNT.EXE
159,2021-06-25 20:18:12.633,POWERPNT.EXE
160,2021-06-25 20:18:13.132,POWERPNT.EXE
161,2021-06-25 20:18:14.633,POWERPNT.EXE
162,2021-06-25 20:19:09.133,POWERPNT.EXE
163,2021-06-25 20:19:11.632,POWERPNT.EXE
164,2021-06-25 20:19:39.132,POWERPNT.EXE
165,2021-06-25 20:19:41.134,POWERPNT.EXE
166,2021-06-25 20:22:21.631,POWERPNT.EXE
167,2021-06-25 20:22:23.631,POWERPNT.EXE
168,2021-06-25 20:30:53.130,POWERPNT.EXE
169,2021-06-25 20:30:54.130,POWERPNT.EXE
170,2021-06-25 20:36:56.629,POWERPNT.EXE
171,2021-06-25 20:36:58.128,POWERPNT.EXE
172,2021-06-25 20:37:01.629,POWERPNT.EXE
173,2021-06-25 20:37:03.129,POWERPNT.EXE
174,2021-06-25 20:37:05.129,POWERPNT.EXE
175,2021-06-25 20:37:06.629,POWERPNT.EXE
176,2021-06-25 20:37:09.129,POWERPNT.EXE
177,2021-06-25 20:44:40.628,POWERPNT.EXE
178,2021-06-25 20:44:41.128,POWERPNT.EXE
180,2021-06-25 20:47:33.628,OUTLOOK.EXE
181,2021-06-25 20:47:34.128,POWERPNT.EXE
182,2021-06-25 21:02:50.127,Teams.exe
184,2021-06-25 21:02:50.627,POWERPNT.EXE
185,2021-06-25 21:03:10.627,POWERPNT.EXE
186,2021-06-25 21:03:14.628,POWERPNT.EXE
187,2021-06-25 21:03:21.127,POWERPNT.EXE
