MEASUREMENT_TIME,VALUE,ID_INPUT,PRIVATE_DATA
36:56.6,POWERPNT.EXE,0,0
36:58.1,POWERPNT.EXE,0,0
37:01.6,POWERPNT.EXE,0,0
37:03.1,POWERPNT.EXE,0,0
37:05.1,POWERPNT.EXE,0,0
37:06.6,POWERPNT.EXE,0,0
37:09.1,POWERPNT.EXE,0,0
44:40.6,POWERPNT.EXE,0,0
44:41.1,POWERPNT.EXE,0,0
47:33.6,OUTLOOK.EXE,0,0
47:34.1,POWERPNT.EXE,0,0
02:50.1,Teams.exe,0,0
02:50.6,POWERPNT.EXE,0,0
03:10.6,POWERPNT.EXE,0,0
03:14.6,POWERPNT.EXE,0,0
03:21.1,POWERPNT.EXE,0,0
03:30.1,POWERPNT.EXE,0,0
03:32.6,POWERPNT.EXE,0,0
03:35.1,POWERPNT.EXE,0,0
03:36.1,FoxitReader.exe,0,0
03:38.1,OUTLOOK.EXE,0,0
03:39.6,OUTLOOK.EXE,0,0
03:42.6,chrome.exe,0,0
03:54.1,OUTLOOK.EXE,0,0
03:55.1,chrome.exe,0,0
04:06.1,Zoom.exe,0,0
04:06.6,chrome.exe,0,0
04:08.6,Zoom.exe,0,0
04:09.6,Zoom.exe,0,0
04:11.1,Zoom.exe,0,0
04:13.1,Zoom.exe,0,0
04:18.1,Zoom.exe,0,0
04:21.1,Zoom.exe,0,0
04:21.6,Zoom.exe,0,0
04:37.6,Zoom.exe,0,0
04:41.1,Zoom.exe,0,0
05:06.1,OUTLOOK.EXE,0,0
05:06.6,Zoom.exe,0,0
05:07.6,OUTLOOK.EXE,0,0
05:10.1,Zoom.exe,0,0
05:15.6,OUTLOOK.EXE,0,0
05:18.6,Zoom.exe,0,0
06:37.6,Zoom.exe,0,0
06:43.6,Zoom.exe,0,0
08:34.6,Zoom.exe,0,0
08:37.6,Zoom.exe,0,0
08:42.6,Zoom.exe,0,0
08:43.1,Zoom.exe,0,0
08:44.1,Zoom.exe,0,0
09:09.6,explorer.exe,0,0
09:11.1,OUTLOOK.EXE,0,0
09:29.6,chrome.exe,0,0
09:32.6,OUTLOOK.EXE,0,0
11:06.6,Zoom.exe,0,0
11:07.1,OUTLOOK.EXE,0,0
11:10.6,Zoom.exe,0,0
11:39.1,Zoom.exe,0,0
11:44.1,Zoom.exe,0,0
12:29.6,Zoom.exe,0,0
12:33.6,Zoom.exe,0,0
13:30.6,Zoom.exe,0,0
13:45.1,chrome.exe,0,0
13:50.1,chrome.exe,0,0
14:56.1,Zoom.exe,0,0
15:03.6,Zoom.exe,0,0
15:04.1,Zoom.exe,0,0
15:05.6,Zoom.exe,0,0
15:06.1,Zoom.exe,0,0
15:06.6,Zoom.exe,0,0
