,loss,categorical_accuracy,val_loss,val_categorical_accuracy
0,0.9668322205543518,0.8436668515205383,0.4476155936717987,0.9426329731941223
1,0.35949283838272095,0.9246674180030823,0.24672453105449677,0.9509154558181763
2,0.21917724609375,0.9436379671096802,0.16160167753696442,0.9630339741706848
3,0.14942866563796997,0.9649508595466614,0.12345001846551895,0.9685266017913818
4,0.11035243421792984,0.9735974669456482,0.09940297156572342,0.9739319682121277
5,0.08368442207574844,0.9819259643554688,0.07979653775691986,0.9746294617652893
6,0.06302367895841599,0.9876229166984558,0.06230872496962547,0.980993926525116
7,0.04655441641807556,0.9906593561172485,0.045826833695173264,0.9909328818321228
8,0.034476689994335175,0.9940717220306396,0.033688757568597794,0.9938099384307861
9,0.02578294835984707,0.9961538314819336,0.02638060785830021,0.9968613982200623
