,loss,categorical_accuracy,val_loss,val_categorical_accuracy
0,1.3363912105560303,0.7751296758651733,0.8421624898910522,0.8282363414764404
1,0.6204206347465515,0.8658789396286011,0.6258398294448853,0.8284100890159607
2,0.4202921986579895,0.8999423384666443,0.493060827255249,0.8378800749778748
3,0.30345356464385986,0.9227665662765503,0.377055287361145,0.8438748717308044
4,0.226873978972435,0.9425359964370728,0.2731151878833771,0.9517810344696045
5,0.1746516078710556,0.9576080441474915,0.1921859234571457,0.9693310260772705
6,0.13657093048095703,0.9734870195388794,0.1376849114894867,0.9882710576057434
7,0.10723111778497696,0.9822766780853271,0.10207735747098923,0.9923544526100159
8,0.08398038148880005,0.9879539012908936,0.07768739014863968,0.993397057056427
9,0.06538674235343933,0.9910086393356323,0.06034662947058678,0.9942658543586731
