,loss,categorical_accuracy,val_loss,val_categorical_accuracy
0,1.2212347984313965,0.7335211634635925,0.5810714364051819,0.8689292073249817
1,0.4410110116004944,0.8857036232948303,0.3635644316673279,0.9490155577659607
2,0.26667073369026184,0.9430214762687683,0.2178543359041214,0.9826597571372986
3,0.16602283716201782,0.9638392329216003,0.10927832126617432,0.9890673756599426
4,0.11117622256278992,0.9812237620353699,0.06532925367355347,0.9934887886047363
5,0.07717424631118774,0.9888780117034912,0.04419181868433952,0.9971157312393188
6,0.05452417954802513,0.9935418963432312,0.031356725841760635,0.9977720379829407
7,0.03879687562584877,0.9950888752937317,0.022971924394369125,0.9983764886856079
8,0.028161795809864998,0.9959859848022461,0.017404664307832718,0.9985319375991821
9,0.021312778815627098,0.9963884949684143,0.01368460152298212,0.9987046718597412
