,frequency,look_back,num_nodes,batch_size,accuracy,balanced_accuracy,weighted_f1_score,weighted_precision,weighted_recall
0,30s,3,8,6,0.97533748701973,0.5082519720026227,0.975444002014385,0.9755530925386454,0.97533748701973
1,30s,3,8,12,0.9756836275527865,0.5120429781436608,0.9758443739303667,0.9760071233780727,0.9756836275527865
2,30s,3,8,18,0.9758566978193146,0.589996496617433,0.9762575200623477,0.9766708289796187,0.9758566978193146
3,30s,3,16,6,0.97533748701973,0.4799803830712684,0.97533748701973,0.97533748701973,0.97533748701973
4,30s,3,16,12,0.97533748701973,0.5106849901271303,0.975462809340562,0.9755889954130847,0.97533748701973
5,30s,3,16,18,0.97533748701973,0.5117881604975388,0.9753773227886977,0.975417282656634,0.97533748701973
6,30s,3,32,6,0.97533748701973,0.45174624289060555,0.97533748701973,0.97533748701973,0.97533748701973
7,30s,3,32,12,0.97533748701973,0.45174624289060555,0.97533748701973,0.97533748701973,0.97533748701973
8,30s,3,32,18,0.97533748701973,0.45174624289060555,0.97533748701973,0.97533748701973,0.97533748701973
9,30s,6,8,6,0.9640785943045097,0.44225896377859697,0.9640785943045097,0.9640785943045097,0.9640785943045097
10,30s,6,8,12,0.9640785943045097,0.47078766527298654,0.9641362993739,0.9642084307106379,0.9640785943045097
11,30s,6,8,18,0.9640785943045097,0.4619441278580205,0.964147840387778,0.9642517095126807,0.9640785943045097
12,30s,6,16,6,0.9640785943045097,0.3902284974517031,0.9640785943045097,0.9640785943045097,0.9640785943045097
13,30s,6,16,12,0.9640785943045097,0.41444423797626906,0.9641172288805167,0.9641559838134584,0.9640785943045097
14,30s,6,16,18,0.9644248247208518,0.44179581667308837,0.9646170325280845,0.9648115426627468,0.9644248247208518
15,30s,6,32,6,0.9640785943045097,0.3902284974517031,0.9640785943045097,0.9640785943045097,0.9640785943045097
16,30s,6,32,12,0.9640785943045097,0.3902284974517031,0.9640785943045097,0.9640785943045097,0.9640785943045097
17,30s,6,32,18,0.9640785943045097,0.3902284974517031,0.9640785943045097,0.9640785943045097,0.9640785943045097
18,30s,10,8,6,0.953156117412763,0.3659521881288067,0.9531936880748968,0.9532313757795917,0.953156117412763
19,30s,10,8,12,0.953156117412763,0.3898372915701727,0.9532235960121939,0.9532963476573528,0.953156117412763
20,30s,10,8,18,0.953156117412763,0.4187017970821184,0.9533433687795,0.9535371457835279,0.953156117412763
21,30s,10,16,6,0.953156117412763,0.3432488795692238,0.953156117412763,0.953156117412763,0.953156117412763
22,30s,10,16,12,0.953156117412763,0.34219613134227345,0.9531907524460992,0.9532261243950383,0.953156117412763
23,30s,10,16,18,0.9535024677461252,0.39084517387478396,0.9537049553102414,0.9539109383857454,0.9535024677461252
24,30s,10,32,6,0.953156117412763,0.32305776900632827,0.953156117412763,0.953156117412763,0.953156117412763
25,30s,10,32,12,0.953156117412763,0.32305776900632827,0.953156117412763,0.953156117412763,0.953156117412763
26,30s,10,32,18,0.953156117412763,0.32305776900632827,0.953156117412763,0.953156117412763,0.953156117412763
27,1min,3,8,6,0.9684957590444867,0.48214890144442896,0.9685085812833779,0.9685223898483375,0.9684957590444867
28,1min,3,8,12,0.9684957590444867,0.5069662162075536,0.9686865539591868,0.9688996595695574,0.9684957590444867
29,1min,3,8,18,0.9646875540938203,0.5254874632436226,0.9668798464192808,0.9691044526187573,0.9646875540938203
