,loss,categorical_accuracy,val_loss,val_categorical_accuracy
0,2.0068252086639404,0.6844176054000854,1.2619047164916992,0.8292929530143738
1,0.9430056214332581,0.845615029335022,0.903482973575592,0.8290043473243713
2,0.7050855159759521,0.8658607006072998,0.7011314630508423,0.8327561616897583
3,0.5523609519004822,0.8916234970092773,0.5614067316055298,0.8623376488685608
4,0.42515045404434204,0.9142199158668518,0.43544456362724304,0.906204879283905
5,0.33098652958869934,0.9297159910202026,0.33118197321891785,0.9340548515319824
6,0.26514121890068054,0.9477067589759827,0.25306928157806396,0.9582972526550293
7,0.21658606827259064,0.9526482224464417,0.19764740765094757,0.9613275527954102
8,0.180253267288208,0.9634906649589539,0.1593802571296692,0.9862914681434631
9,0.15240176022052765,0.9719823598861694,0.13194653391838074,0.9883117079734802
